city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,299,11,3,0025705|0025712|0025682
shanghai,300,11,3,0034470|0034468|0034465
shanghai,301,11,3,0036576|0035900|0150462
shanghai,302,11,3,0159191|0055617|0189701
shanghai,303,11,3,0065505|0065493|0065502
shanghai,304,11,3,0125454|0218138|0161280
shanghai,305,11,3,0171096|0171094|0171097
shanghai,306,11,3,0150154|0150156|0150163
shanghai,307,11,3,0216236|0216186|0216233
shanghai,308,10,3,0000250|0000253|0000239
shanghai,309,10,3,0001916|0001914|0001923
shanghai,310,10,3,0002542|0002550|0002534
shanghai,311,10,3,0068764|0101827|0016684
shanghai,312,10,3,0117580|0018084|0019961
shanghai,313,10,3,0128985|0018348|0019457
shanghai,314,10,3,0097095|0157235|0143437
shanghai,315,10,3,0023773|0023780|0023776
shanghai,316,10,3,0024618|0024600|0024609
shanghai,317,10,3,0025436|0025453|0025426
shanghai,318,10,3,0027972|0027971|0027963
shanghai,319,10,3,0034844|0198524|0034860
shanghai,320,10,3,0146746|0126937|0070213
shanghai,321,10,3,0051400|0051395|0051359
shanghai,322,10,3,0150692|0150681|0150676
shanghai,323,10,3,0151004|0151003|0150998
shanghai,324,10,3,0223923|0223920|0223917
shanghai,325,9,3,0002727|0002708|0002722
shanghai,326,9,3,0002775|0002772|0002742
shanghai,327,9,3,0012847|0012852|0045426
shanghai,328,9,3,0014823|0014817|0014819
shanghai,329,9,3,0089454|0089071|0092311
shanghai,330,9,3,0018179|0018173|0018176
shanghai,331,9,3,0064558|0064556|0182088
shanghai,332,9,3,0132723|0113339|0113338
shanghai,333,9,3,0035198|0035196|0100465
shanghai,334,9,3,0069140|0020566|0020556
shanghai,335,9,3,0020829|0070150|0187816
shanghai,336,9,3,0023534|0023536|0023515
shanghai,337,9,3,0025548|0025549|0025529
shanghai,338,9,3,0089355|0089735|0042768
shanghai,339,9,3,0169570|0048981|0169585
shanghai,340,9,3,0157866|0197767|0157864
shanghai,341,9,3,0201344|0049906|0097475
shanghai,342,9,3,0054217|0054194|0054208
shanghai,343,9,3,0096379|0069654|0157255
shanghai,344,9,3,0064835|0064837|0064827
shanghai,345,9,3,0067375|0067370|0067371
shanghai,346,9,3,0174971|0125442|0096805
shanghai,347,9,3,0164778|0114580|0114577
shanghai,348,9,3,0089125|0097822|0089508
