city_code,merchant_a,merchant_b,weight,sppmi,support,z_score
shanghai,0002472,0002474,1.3185716619252477,,3,
shanghai,0002528,0002542,3.169161079071479,,5,
shanghai,0002620,0002634,1.6832241877123881,,4,
shanghai,0002624,0002636,2.846571757897289,,4,
shanghai,0002626,0002636,1.9468350797444018,,3,
shanghai,0002628,0002634,2.299021194595306,,4,
shanghai,0002631,0002634,2.4983863998284694,,4,
shanghai,0002632,0002634,5.577964019657355,,9,
shanghai,0002632,0002636,3.2207997139373754,,5,
shanghai,0002634,0002639,2.9669443989355155,,5,
shanghai,0002634,0002654,2.596529870819213,,4,
shanghai,0002634,0002640,2.449313731405558,,4,
shanghai,0002634,0002638,2.1796770859100447,,3,
shanghai,0002634,0002635,2.0226993083764,,3,
shanghai,0002636,0002649,5.61804335153326,,8,
shanghai,0002636,0002660,2.831299406724117,,3,
shanghai,0002636,0002639,2.2074927586658113,,3,
shanghai,0002636,0002653,2.072392480715589,,3,
shanghai,0002670,0002682,1.575350462137004,,3,
shanghai,0002682,0002698,2.232428995164907,,3,
shanghai,0002702,0002727,1.9395098203367214,,3,
shanghai,0002703,0002727,2.7148139243972,,4,
shanghai,0002704,0002727,2.3257822480404062,,4,
shanghai,0002708,0002727,1.930850702050706,,3,
shanghai,0002727,0111448,1.0862756142009542,,3,
shanghai,0002737,0002751,1.4571174223970456,,3,
shanghai,0002742,0002775,2.747723965614108,,4,
shanghai,0002743,0002775,2.5873190132165185,,3,
shanghai,0002999,0003021,3.32560977149944,,4,
shanghai,0003003,0003021,3.940658099387323,,6,
shanghai,0003009,0003021,1.6684409552953414,,3,
shanghai,0003010,0003021,2.8220358127147964,,4,
shanghai,0003012,0003021,1.7656583801799415,,3,
shanghai,0003018,0003021,1.3588289613886844,,3,
shanghai,0003019,0003021,2.590179591026461,,4,
shanghai,0003032,0003057,3.6619499357749863,,6,
shanghai,0003032,0003062,2.2762956996805146,,3,
shanghai,0003050,0003057,3.0988860996641403,,5,
shanghai,0003057,0003067,2.9181211193668637,,4,
shanghai,0003057,0003066,2.6905135248423893,,4,
shanghai,0003057,0003062,2.3344874406209746,,3,
shanghai,0003101,0003117,1.8321489077077378,,3,
shanghai,0003112,0003117,1.7983436648601288,,3,
shanghai,0003229,0003246,3.704053000618998,,5,
shanghai,0003229,0003248,2.1385364319795657,,3,
shanghai,0003240,0003248,2.1725351261374115,,3,
shanghai,0003244,0003248,1.682613479289406,,3,
shanghai,0003260,0003301,1.5915820110994403,,3,
shanghai,0003262,0003287,1.8074325325589133,,3,
shanghai,0003301,0003303,2.0435314148533688,,3,
shanghai,0003316,0003335,1.6299702072045275,,3,
shanghai,0003359,0003373,2.017457429686756,,3,
shanghai,0003363,0003373,2.3316022725656946,,3,
shanghai,0003363,0003376,2.2915413543121916,,4,
shanghai,0003367,0003373,2.2891544682030682,,3,
shanghai,0003405,0003420,2.539425058658389,,4,
shanghai,0003406,0003420,1.745307764762225,,3,
shanghai,0003411,0003420,2.205671172487792,,3,
shanghai,0003412,0003420,2.604468821980556,,4,
